source,target,weight,annee,mois,commentaire
BOURGES,PARIS AUSTERLITZ,84.6,2015,10,
HENDAYE,TOULOUSE MATABIAU,91.0,2015,10,
LE HAVRE,PARIS ST LAZARE,92.4,2015,10,
PARIS AUSTERLITZ,CERBERE,89.5,2015,10,
PARIS AUSTERLITZ,ORLÉANS,79.2,2015,10,
PARIS ST LAZARE,ROUEN,94.9,2015,10,
TOULOUSE MATABIAU,HENDAYE,95.3,2015,10,
BORDEAUX ST JEAN,LIMOGES,93.8,2015,11,
PARIS AUSTERLITZ,TOURS,71.8,2015,11,
PARIS BERCY,NEVERS,86.3,2015,11,
PARIS NORD,AMIENS,80.0,2015,11,
BÉZIERS,CLERMONT FERRAND,93.5,2015,12,
BORDEAUX ST JEAN,NANTES,69.2,2015,12,
BOURGES,PARIS AUSTERLITZ,93.5,2015,12,
CERBERE,PARIS AUSTERLITZ,94.7,2015,12,
HENDAYE,TOULOUSE MATABIAU,88.7,2015,12,
NANTES,LYON PART DIEU,86.7,2015,12,
PARIS AUSTERLITZ,BOURGES,92.8,2015,12,
PARIS NORD,AMIENS,91.2,2015,12,
PARIS NORD,MAUBEUGE,92.5,2015,12,
PARIS NORD,BOULOGNE,91.0,2015,12,
PARIS ST LAZARE,CAEN,88.9,2015,12,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,92.5,2015,12,
BORDEAUX ST JEAN,NICE,85.4,2016,1,
BOURGES,PARIS AUSTERLITZ,95.1,2016,1,
HENDAYE,TOULOUSE MATABIAU,89.2,2016,1,
NANTES,LYON PART DIEU,100.0,2016,1,
PARIS AUSTERLITZ,BOURGES,95.0,2016,1,
PARIS BERCY,NEVERS,85.6,2016,1,
PARIS EST,BELFORT,89.0,2016,1,
PARIS NORD,BOULOGNE,83.2,2016,1,
ROUEN,PARIS ST LAZARE,94.3,2016,1,
TOURS,PARIS AUSTERLITZ,93.6,2016,1,
TROYES,PARIS EST,96.6,2016,1,
CLERMONT FERRAND,NÎMES,96.6,2016,2,
CLERMONT FERRAND,BÉZIERS,96.4,2016,2,
PARIS BERCY,CLERMONT FERRAND,91.2,2016,2,
PARIS ST LAZARE,CAEN,92.5,2016,2,
TOULOUSE MATABIAU,HENDAYE,89.2,2016,2,
TROYES,PARIS EST,89.8,2016,2,
BOURGES,PARIS AUSTERLITZ,91.4,2016,3,
CLERMONT FERRAND,PARIS BERCY,86.5,2016,3,
CLERMONT FERRAND,BÉZIERS,98.0,2016,3,
LYON PART DIEU,NANTES,88.2,2016,3,
NANTES,BORDEAUX ST JEAN,28.4,2016,3,
PARIS EST,BELFORT,92.6,2016,3,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,76.3,2016,3,
TOULOUSE MATABIAU,HENDAYE,84.0,2016,3,
BORDEAUX ST JEAN,NICE,87.4,2016,4,
BOURGES,PARIS AUSTERLITZ,82.6,2016,4,
CERBERE,PARIS AUSTERLITZ,95.7,2016,4,
HENDAYE,TOULOUSE MATABIAU,90.0,2016,4,
LYON PART DIEU,NANTES,90.7,2016,4,
NANTES,BORDEAUX ST JEAN,78.2,2016,4,
ORLÉANS,PARIS AUSTERLITZ,79.3,2016,4,
PARIS NORD,AMIENS,93.6,2016,4,
PARIS ST LAZARE,ROUEN,89.0,2016,4,
TOURS,CAEN,91.4,2016,4,
TROYES,PARIS EST,93.4,2016,4,
BELFORT,PARIS EST,77.1,2016,5,
BORDEAUX ST JEAN,NICE,77.6,2016,5,
BORDEAUX ST JEAN,NANTES,66.7,2016,5,
CHERBOURG,PARIS ST LAZARE,88.9,2016,5,
NICE,BORDEAUX ST JEAN,79.9,2016,5,
PARIS AUSTERLITZ,ORLÉANS,75.1,2016,5,
PARIS AUSTERLITZ,BOURGES,86.7,2016,5,
PARIS BERCY,CLERMONT FERRAND,74.6,2016,5,
PARIS EST,BELFORT,83.3,2016,5,
PARIS ST LAZARE,CAEN,86.6,2016,5,
PARIS ST LAZARE,CHERBOURG,80.7,2016,5,
