id,numericId
PARIS ST LAZARE,0
TROUVILLE DEAUVILLE,1
PARIS VAUGIRARD,2
GRANVILLE,3
CHERBOURG,4
LE HAVRE,5
CERBERE,6
PARIS AUSTERLITZ,7
NANTES,8
BORDEAUX ST JEAN,9
CLERMONT FERRAND,10
BÉZIERS,11
NÎMES,12
PARIS NORD,13
MAUBEUGE,14
BOURGES,15
NICE,16
LYON PART DIEU,17
AMIENS,18
BELFORT,19
PARIS EST,20
TROYES,21
TOULOUSE MATABIAU,22
HENDAYE,23
ORLÉANS,24
ROUEN,25
BOULOGNE,26
PARIS BERCY,27
LIMOGES,28
CAEN,29
TOURS,30
NEVERS,31
